---------------------------------17:56:51-------------------------------
[17:56:51][3DBOX] Initing window
[17:56:51][3DBOX] Window setuping
[17:57:3][3DBOX] Game initing
screen resolution: (1920, 1080)
os: Windows
development mode: True
application successfully started
info: changed aspect ratio: 1.778 -> 1.778
info: changed aspect ratio: 1.778 -> 1.778
[17:57:17][3DBOX] Delte block box
[17:57:17][3DBOX] Delte block box
[17:57:17][3DBOX] Delte block box
[17:57:18][3DBOX] Delte block box
[17:57:18][3DBOX] Delte block box
[17:57:19][3DBOX] Delte block box
[17:57:19][3DBOX] Delte block box
[17:57:19][3DBOX] Delte block box
[17:57:20][3DBOX] Delte block box
[17:57:20][3DBOX] Delte block box
[17:57:20][3DBOX] Delte block box
[17:57:20][3DBOX] Delte block box
[17:57:21][3DBOX] Delte block box
[17:57:21][3DBOX] Delte block box
[17:57:21][3DBOX] Delte block box
[17:57:21][3DBOX] Delte block box
[17:57:23][3DBOX] New block box
[17:57:23][3DBOX] Saving world
[17:57:23][3DBOX] Saved world
[17:57:24][3DBOX] Delte block box
[17:57:24][3DBOX] Delte block box
[17:57:25][3DBOX] Delte block box
[17:57:25][3DBOX] Delte block box
[17:57:25][3DBOX] Delte block box
[17:57:25][3DBOX] Delte block box
[17:57:25][3DBOX] Delte block box
[17:57:26][3DBOX] Delte block box
[17:57:26][3DBOX] Delte block box
[17:57:26][3DBOX] Delte block box
[17:57:26][3DBOX] Delte block box
[17:57:27][3DBOX] Delte block box
[17:57:27][3DBOX] Delte block box
[17:57:27][3DBOX] Delte block box
[17:57:27][3DBOX] Delte block box
[17:57:27][3DBOX] Delte block box
[17:57:34][3DBOX] Delte block box
[17:57:34][3DBOX] Delte block box
[17:57:35][3DBOX] Delte block box
[17:57:37][3DBOX] Delte block box
[17:57:38][3DBOX] Delte block box
[17:57:38][3DBOX] Delte block box
[17:57:38][3DBOX] Delte block box
[17:57:39][3DBOX] New block box
[17:57:41][3DBOX] Delte block box
[17:57:41][3DBOX] Delte block box
[17:57:42][3DBOX] Delte block box
